D:\meli_case_solution>python src/models/tunning.py
2025-01-18 22:59:29,032 - __main__ - INFO - Iniciando o tunning
2025-01-18 22:59:29,032 - __main__ - INFO - Lendo a base de treino encodada
2025-01-18 22:59:29,085 - __main__ - INFO - Sucesso! Base de treino lida. Shape: (212047, 19)
2025-01-18 22:59:29,115 - __main__ - INFO - Iniciando o Optuna
[I 2025-01-18 22:59:29,115] A new study created in memory with name: XGBoost Classifier
[I 2025-01-18 22:59:33,053] Trial 0 finished with value: 0.7848251863834349 and parameters: {'learning_rate': 0.002033881681364998, 'max_depth': 5, 'min_child_weight': 0.020728843654523807, 'gamma': 0.46633387787501157, 
'subsample': 0.6058299849941678, 'colsample_bytree': 0.967498803239954, 'scale_pos_weight': 90.1707705575842}. Best is trial 0 with value: 0.7848251863834349.
[I 2025-01-18 22:59:36,793] Trial 1 finished with value: 0.8017854309209846 and parameters: {'learning_rate': 0.0011663874960324435, 'max_depth': 6, 'min_child_weight': 0.004853405822151018, 'gamma': 0.026250752950375617, 'subsample': 0.8424332737435316, 'colsample_bytree': 0.9776900544212168, 'scale_pos_weight': 85.4208185698192}. Best is trial 1 with value: 0.8017854309209846.
[I 2025-01-18 22:59:40,335] Trial 2 finished with value: 0.8139509304691618 and parameters: {'learning_rate': 0.0010104584662529942, 'max_depth': 5, 'min_child_weight': 0.5756893116252496, 'gamma': 0.2672311424292974, 'subsample': 0.9072536616257689, 'colsample_bytree': 0.664286701250228, 'scale_pos_weight': 76.691484583549}. Best is trial 2 with value: 0.8139509304691618.
[I 2025-01-18 22:59:43,532] Trial 3 finished with value: 0.7170249940384675 and parameters: {'learning_rate': 0.001100574879599906, 'max_depth': 3, 'min_child_weight': 0.003813862987389152, 'gamma': 0.035439527455799626, 'subsample': 0.868581058084801, 'colsample_bytree': 0.7884919113000056, 'scale_pos_weight': 81.80066150655666}. Best is trial 2 with value: 0.8139509304691618.
[I 2025-01-18 22:59:47,504] Trial 4 finished with value: 0.8050678207274948 and parameters: {'learning_rate': 0.003794666096144843, 'max_depth': 5, 'min_child_weight': 3.2592057381621613, 'gamma': 0.04343575564996947, 'subsample': 0.7338590116424223, 'colsample_bytree': 0.9912232316066075, 'scale_pos_weight': 62.83362906179988}. Best is trial 2 with value: 0.8139509304691618.
[I 2025-01-18 22:59:51,870] Trial 5 finished with value: 0.8604276082415087 and parameters: {'learning_rate': 0.07954759416625123, 'max_depth': 6, 'min_child_weight': 13.336635018651073, 'gamma': 0.10794474607098499, 'subsample': 0.7805233645685257, 'colsample_bytree': 0.7602526509446694, 'scale_pos_weight': 99.51867787351729}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 22:59:56,353] Trial 6 finished with value: 0.823370415711025 and parameters: {'learning_rate': 0.0022653137020105887, 'max_depth': 6, 'min_child_weight': 0.1248105656066717, 'gamma': 0.13190529597793005, 'subsample': 0.7852595478909383, 'colsample_bytree': 0.7494892595295661, 'scale_pos_weight': 47.08530191707859}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 22:59:59,929] Trial 7 finished with value: 0.8016881660265295 and parameters: {'learning_rate': 0.001175808303802138, 'max_depth': 3, 'min_child_weight': 4.598365527632819, 'gamma': 1.5170502597461306, 'subsample': 0.611163115544613, 'colsample_bytree': 0.7200680239295947, 'scale_pos_weight': 22.864399562059667}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:03,826] Trial 8 finished with value: 0.8211022162549042 and parameters: {'learning_rate': 0.0012883681698123647, 'max_depth': 5, 'min_child_weight': 0.12073919791957129, 'gamma': 0.0017421829097171427, 'subsample': 0.8289618062118438, 'colsample_bytree': 0.9214066602709505, 'scale_pos_weight': 12.246570234441885}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:09,295] Trial 9 finished with value: 0.803578011985325 and parameters: {'learning_rate': 0.0035828978700906547, 'max_depth': 5, 'min_child_weight': 0.29086169267959333, 'gamma': 0.3410204148185452, 'subsample': 0.7845761040263821, 'colsample_bytree': 0.9578972295711563, 'scale_pos_weight': 60.97199162042291}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:13,130] Trial 10 finished with value: 0.8500069034727957 and parameters: {'learning_rate': 0.09867061507291887, 'max_depth': 4, 'min_child_weight': 67.72451167645586, 'gamma': 31.439881241351934, 'subsample': 0.9272175962741115, 'colsample_bytree': 0.6202894339553977, 'scale_pos_weight': 99.46798293127908}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:16,410] Trial 11 finished with value: 0.8493971758824653 and parameters: {'learning_rate': 0.09939616614698017, 'max_depth': 4, 'min_child_weight': 39.02390324077534, 'gamma': 48.27844217032906, 'subsample': 0.9868581908802718, 'colsample_bytree': 0.6111114948245876, 'scale_pos_weight': 99.01579098753457}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:19,280] Trial 12 finished with value: 0.8465357032785257 and parameters: {'learning_rate': 0.08690951303199607, 'max_depth': 4, 'min_child_weight': 50.1211735445641, 'gamma': 67.27661388357956, 'subsample': 0.9496685484683635, 'colsample_bytree': 0.6061693820296781, 'scale_pos_weight': 95.52819755571413}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:22,125] Trial 13 finished with value: 0.8362233430028937 and parameters: {'learning_rate': 0.04203095857710771, 'max_depth': 4, 'min_child_weight': 81.31325802495, 'gamma': 6.978625294365866, 'subsample': 0.9300371170889631, 'colsample_bytree': 0.8386578898931516, 'scale_pos_weight': 98.600174515415}. Best is trial 5 with value: 0.8604276082415087.
[I 2025-01-18 23:00:25,409] Trial 14 finished with value: 0.8431990846417827 and parameters: {'learning_rate': 0.030803269404285145, 'max_depth': 6, 'min_child_weight': 7.881025382735913, 'gamma': 4.995264164632099, 'subsample': 0.9987436906225079, 'colsample_bytree': 0.6780311157653306, 'scale_pos_weight': 73.95965992792438}. Best is trial 5 with value: 0.8604276082415087.
